sex,age,address,famsize,medu,fedu,mjob,fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,internet,romantic,famrel,freetime,goout,health,absences,GPA
2,23,1,1,4,4,1,4,1,2,2,0,1,2,2,2,2,2,4,3,4,3,4,11
2,22,1,1,1,1,1,5,2,1,2,0,2,1,2,2,1,2,5,3,3,3,2,11
2,20,1,2,1,1,1,5,1,1,2,0,1,2,2,2,1,2,4,3,2,3,6,13
2,20,1,1,4,2,2,3,1,1,3,0,2,1,2,1,1,1,3,2,2,5,0,14
2,21,1,1,3,3,5,5,2,1,2,0,2,1,2,2,2,2,4,3,2,5,0,13
1,21,1,2,4,3,3,5,1,1,2,0,2,1,2,1,1,2,5,4,2,5,6,12
1,21,1,2,2,2,5,5,1,1,2,0,2,2,2,2,1,2,4,4,4,3,0,12
2,22,1,1,4,4,5,4,1,2,2,0,1,1,2,2,2,2,4,1,4,1,2,13
1,20,1,2,3,2,3,5,1,1,2,0,2,1,2,2,1,2,4,2,2,1,0,16
1,20,1,1,3,4,5,5,1,1,2,0,2,1,2,1,1,2,5,5,1,5,0,12
2,20,1,1,4,4,4,2,1,1,2,0,2,1,2,2,1,2,3,3,3,2,2,14
2,20,1,1,2,1,3,5,2,3,3,0,2,1,2,1,1,2,5,2,2,4,0,12
1,20,1,2,4,4,2,3,2,1,1,0,2,1,2,1,1,2,4,3,3,5,0,13
1,20,1,1,4,3,4,5,1,2,2,0,2,1,2,2,1,2,5,4,3,3,0,12
1,20,1,1,2,2,5,5,3,1,3,0,2,1,2,2,1,1,4,5,2,3,0,14
2,21,1,1,4,4,2,5,1,1,1,0,2,1,2,2,1,2,4,4,4,2,6,17
2,21,1,1,4,4,3,3,1,1,3,0,2,1,2,1,1,2,3,2,3,2,10,13
2,21,1,1,3,3,5,5,1,3,2,0,1,1,2,1,2,2,5,3,2,4,2,14
1,22,1,1,3,2,3,3,1,1,1,3,2,1,1,1,1,2,5,5,5,5,2,8
1,21,1,2,4,3,2,5,2,1,1,0,2,2,2,1,1,2,3,1,3,5,6,12
1,20,1,1,4,3,4,5,1,1,2,0,2,2,2,2,1,2,4,4,1,1,0,13
1,20,1,1,4,4,2,2,2,1,1,0,2,1,1,2,1,2,5,4,2,5,0,12
1,21,1,2,4,2,4,5,1,1,2,0,2,2,2,1,1,2,4,5,1,5,0,13
1,21,1,2,2,2,5,5,1,2,2,0,2,1,2,1,1,2,5,4,4,5,2,10
2,20,2,1,2,4,3,2,1,1,3,0,1,1,2,1,1,2,4,3,2,5,2,11
2,21,1,1,2,2,3,3,1,1,1,0,2,1,2,2,1,2,1,2,2,5,6,11
1,20,1,1,2,2,5,5,1,1,1,0,2,1,2,2,1,2,4,2,2,5,8,12
1,20,1,1,4,2,2,3,1,1,1,0,2,2,2,2,1,2,2,2,4,1,0,11
1,21,1,2,3,4,3,5,1,1,2,0,1,1,1,1,1,2,5,3,3,5,2,12
1,21,1,1,4,4,4,4,1,1,2,0,2,1,1,1,1,1,4,4,5,5,4,11
1,20,1,1,4,4,2,3,1,1,2,0,2,1,1,2,1,2,5,4,2,5,0,11
1,20,1,1,4,4,3,3,1,2,2,0,2,1,2,1,1,2,4,3,1,5,2,15
1,20,2,1,4,3,4,1,1,1,2,0,2,1,2,1,1,1,4,5,2,5,0,14
1,20,1,2,3,3,5,5,1,1,2,0,2,2,2,1,1,2,5,3,2,2,0,12
1,21,1,1,3,2,5,5,1,1,1,0,2,1,2,2,1,2,5,4,3,5,4,12
2,21,1,1,2,3,5,5,2,2,1,0,2,1,2,1,2,2,3,5,1,5,4,11
1,20,1,2,4,3,4,3,1,1,3,0,2,1,2,1,1,2,5,4,3,4,0,14
1,21,2,1,4,4,5,4,1,2,3,0,2,1,2,1,1,1,2,4,3,5,4,13
2,20,2,1,3,4,3,2,1,1,3,0,1,1,2,1,1,2,4,3,2,5,2,12
2,20,2,1,2,2,1,5,1,1,1,0,1,1,2,1,2,2,4,3,1,2,8,13
2,21,1,2,2,2,5,5,1,2,2,0,2,1,2,1,1,1,3,3,3,3,16,11
1,20,1,2,4,4,4,5,3,1,1,0,2,1,2,2,1,1,5,4,3,5,8,11
1,20,1,1,4,4,3,4,2,1,2,0,2,1,2,1,1,2,4,3,3,5,0,15
1,20,1,1,2,2,3,3,2,1,1,0,1,1,2,2,1,2,5,4,1,1,0,10
2,21,1,2,2,2,5,1,2,2,2,1,1,2,2,1,1,2,4,3,3,5,14,11
2,20,1,2,4,3,5,5,1,1,2,0,1,1,1,1,1,1,5,2,2,5,4,11
2,21,1,2,3,3,5,3,1,1,2,0,2,1,2,2,1,2,2,3,5,3,6,12
1,21,1,1,4,3,2,3,1,1,4,0,2,2,2,1,1,2,4,2,2,2,2,17
1,20,1,1,4,2,4,5,1,1,2,0,2,1,2,2,2,2,4,3,3,5,4,12
2,20,1,1,4,4,3,4,2,1,2,0,1,1,2,1,1,2,4,4,4,3,2,12
2,21,1,2,2,2,3,3,1,3,2,0,2,1,2,2,1,2,4,3,3,4,0,13
2,20,1,2,4,2,2,5,1,1,2,0,2,1,2,2,1,2,4,3,3,5,0,14
1,20,1,2,4,2,2,2,2,2,1,0,2,2,2,2,2,2,5,5,5,5,4,9
2,20,1,1,4,4,3,3,1,1,1,0,1,1,2,2,1,2,3,3,4,5,0,12
2,20,1,2,3,3,5,5,1,1,1,0,2,2,2,2,1,2,5,3,4,1,0,12
2,21,1,1,2,1,5,5,1,1,2,0,2,2,2,1,1,1,5,3,4,2,2,13
2,20,1,1,4,3,3,3,1,1,2,0,2,1,2,1,1,2,4,3,2,1,0,14
1,20,1,1,4,4,4,2,1,1,2,0,2,1,2,1,2,2,3,2,2,5,8,15
1,20,1,2,1,2,5,1,2,1,2,0,1,1,2,1,1,2,4,3,2,5,0,13
2,21,1,1,4,2,3,5,1,1,2,0,2,1,1,2,1,2,4,2,3,5,2,15
2,21,2,1,4,4,2,4,1,1,2,0,2,1,2,1,2,2,2,4,4,4,0,16
2,21,1,1,1,1,3,3,2,4,1,0,1,1,2,1,1,1,5,5,5,5,0,10
2,21,1,2,1,2,5,3,2,1,2,0,1,2,2,1,1,2,4,4,3,1,0,13
2,21,1,1,4,3,4,2,1,1,3,0,1,1,2,1,1,2,3,4,4,4,0,13
2,20,1,2,4,3,3,3,2,1,2,0,1,2,2,1,1,1,4,4,4,2,0,12
2,21,1,2,4,3,4,3,1,3,2,0,2,1,2,1,1,2,5,4,3,1,2,15
1,20,1,1,4,4,5,3,1,1,4,0,2,1,2,1,1,1,1,3,3,3,0,12
2,21,1,1,3,1,3,5,1,1,4,0,1,1,2,2,1,2,4,3,3,5,0,9
2,20,2,2,2,2,2,3,1,2,2,0,1,1,2,2,1,2,4,1,3,4,0,10
2,20,2,2,3,1,5,5,2,2,4,0,2,1,2,2,1,2,4,4,2,3,6,15
1,21,1,1,3,1,5,5,2,2,4,0,2,1,2,2,1,2,4,3,2,5,2,11
1,20,1,1,4,2,5,5,1,1,4,0,2,2,2,2,1,2,3,3,3,3,0,9
2,20,2,1,1,1,5,5,1,1,2,0,1,1,2,2,1,1,3,3,4,5,2,11
1,21,1,1,3,1,5,5,1,1,1,0,2,2,2,1,2,2,5,3,2,5,0,13
2,21,1,1,3,3,5,3,1,1,2,0,1,1,2,1,1,2,4,3,3,5,4,11
1,20,1,1,4,3,4,5,1,1,2,0,2,1,2,1,1,2,4,3,3,5,0,11
1,20,1,1,4,0,4,5,1,2,4,0,2,2,2,1,1,2,3,4,3,1,0,11
2,21,1,1,2,2,5,5,1,1,4,0,2,2,2,2,1,1,5,2,3,3,1,13
1,22,1,1,2,1,5,5,1,2,1,3,1,1,2,1,1,2,4,5,1,3,0,9
2,21,1,1,3,4,1,5,1,1,2,0,2,1,2,2,1,2,2,4,3,3,14,11
1,20,1,1,2,3,5,3,2,1,1,0,1,1,2,1,1,1,3,2,2,3,0,11
1,20,1,1,2,3,5,5,1,1,3,0,1,2,2,2,1,2,5,3,2,5,2,9
2,20,1,2,3,2,3,5,1,1,2,0,2,1,2,2,1,2,4,4,4,5,4,11
1,20,1,2,2,2,3,3,1,2,2,0,2,2,1,1,1,2,5,3,3,4,2,12
2,20,1,1,1,1,5,5,2,1,2,0,2,1,2,1,1,2,4,3,2,4,2,12
2,20,1,1,4,4,3,3,2,2,2,0,2,2,2,2,1,1,4,4,4,5,4,11
2,21,1,2,2,2,1,5,1,1,2,0,2,1,2,2,2,2,4,3,4,2,6,11
2,20,1,1,4,2,5,5,1,1,3,0,2,1,2,1,1,2,5,3,3,1,4,15
1,21,1,1,2,2,3,5,2,2,2,0,2,2,2,1,1,2,4,4,2,3,6,10
1,21,1,2,4,4,4,2,1,1,2,0,2,1,2,2,2,2,4,1,3,5,6,9
2,21,1,1,3,3,5,5,1,1,3,0,2,1,2,2,1,1,4,3,3,4,2,11
2,20,1,1,4,3,3,5,1,1,1,0,2,2,2,1,1,2,4,5,5,1,6,13
2,21,1,2,3,1,5,5,2,1,2,0,1,1,2,2,2,2,3,3,3,2,0,13
2,21,1,1,4,2,4,3,1,2,2,0,2,1,2,1,1,2,5,3,3,1,2,14
1,20,1,2,2,2,3,2,1,1,4,0,2,1,2,1,1,2,4,3,4,4,2,12
2,20,2,1,1,1,1,5,1,2,4,0,1,1,1,1,1,2,3,1,2,1,4,13
1,21,2,1,4,3,3,5,1,2,1,0,1,1,1,1,1,2,3,3,3,4,6,11
2,21,1,1,2,1,5,5,1,1,2,0,2,1,2,2,2,1,4,3,5,5,0,12
2,21,1,1,4,4,5,5,1,1,1,0,2,2,2,1,1,2,5,3,4,1,4,13
2,21,1,1,4,3,5,1,1,1,3,0,1,1,2,2,1,2,5,3,5,3,2,13
1,21,1,1,4,4,3,3,1,1,1,0,1,1,2,1,1,2,4,5,5,4,12,9
1,21,1,1,4,4,3,4,2,1,3,0,2,1,2,1,1,1,4,4,3,4,0,16
